userId,itemId,rating
1,tt1455816,4
1,tt2106537,4
1,tt2294685,7
1,tt6265988,5
1,tt4979082,5
1,tt2211133,2
1,tt6967980,10
1,tt1188996,9
1,tt4303010,9
1,tt4949324,7
1,tt3767372,10
1,tt4940456,4
1,tt1805263,10
1,tt7722258,4
1,tt3771536,5
1,tt1596723,3
1,tt2976172,7
1,tt1839596,9
1,tt2556308,8
1,tt3814100,6
1,tt2802062,4
1,tt2675978,7
1,tt4511416,5
1,tt2622130,5
1,tt4373886,5
1,tt3036740,2
1,tt1607607,4
1,tt10360496,8
1,tt3742284,7
1,tt5756052,7
1,tt5021968,10
1,tt1612573,4
1,tt4287778,4
1,tt5717110,5
1,tt4581722,7
1,tt4909752,6
2,tt1188996,8
2,tt4323504,7
2,tt2294685,7
2,tt3001638,6
2,tt5121000,8
2,tt6774212,6
2,tt5074352,10
2,tt3766798,5
2,tt6275262,6
2,tt8458202,7
2,tt2905838,5
2,tt0988655,5
2,tt2229848,5
3,tt1787988,6
3,tt6467380,6
3,tt1891884,6
3,tt1221147,8
3,tt1937092,5
3,tt3142232,6
3,tt7526836,6
3,tt8902990,5
3,tt2246595,6
3,tt1714832,9
3,tt3431714,6
3,tt7341406,6
3,tt1918886,1
3,tt2323964,6
3,tt10360496,9
3,tt4354740,7
3,tt6988116,5
3,tt3148502,8
3,tt3766798,5
3,tt7162758,6
4,tt4600778,7
4,tt5165344,8
4,tt3840534,5
4,tt7527082,8
4,tt2437954,7
4,tt6711660,9
4,tt5639388,4
4,tt3742284,7
4,tt9248940,9
4,tt1244093,4
4,tt7431594,2
4,tt2438764,2
4,tt2172071,6
4,tt6512784,4
4,tt4110568,6
4,tt3142688,7
4,tt3767372,9
4,tt3334348,5
4,tt5021968,8
4,tt4287778,3
4,tt4024944,6
4,tt5617172,6
4,tt3357416,4
4,tt1345777,7
4,tt7695014,4
4,tt1375789,8
4,tt7881542,4
4,tt4007558,1
4,tt1948150,5
4,tt4045666,8
4,tt2190820,6
4,tt1696191,7
4,tt4640206,7
4,tt1926313,9
4,tt3311236,6
4,tt5752374,6
4,tt3309662,1
4,tt4272420,2
4,tt1183917,6
4,tt1431122,7
